"","ativo","base","id","Model","Mean.Hits","Var.Hits"
"94","12 - NDX - final","train",10,"linearTGARCHmu",0.0979704204204204,0.000199995603872172
"95","12 - NDX - final","train",11,"TCAV",0.037387987987988,1.67510334655275e-05
"96","12 - NDX - final","train",12,"rangeValue",0.0523664664664665,9.53773127689292e-05
"97","12 - NDX - final","train",13,"trigGARCH",0.137396346346346,0.000173747934641352
"98","12 - NDX - final","train",14,"trvGARCH",0.0524835835835836,3.25602146845174e-05
"99","12 - NDX - final","valid",1,"Adaptive",0.066144976635514,1.31767198573569e-05
"100","12 - NDX - final","valid",2,"symmetricAbs",0.0406744158878505,1.3562945346843e-05
"101","12 - NDX - final","valid",3,"IndirectGARCH",0.0169825934579439,8.7258608018005e-06
"102","12 - NDX - final","valid",4,"standardGARCHmu",0.00468621495327103,5.59367873006866e-06
"103","12 - NDX - final","valid",5,"linearGARCH",0.0406328271028037,1.35622961428472e-05
"104","12 - NDX - final","valid",6,"linearGARCHmu",0.00349848130841121,3.10654473839567e-06
"105","12 - NDX - final","valid",7,"GJRGARCH",0.037556191588785,1.04462552125894e-05
"106","12 - NDX - final","valid",8,"GJRGARCHmu",0.0041161214953271,4.80945013135739e-06
"107","12 - NDX - final","valid",9,"linearTGARCH",0.0411511682242991,1.35192976122519e-05
"108","12 - NDX - final","valid",10,"linearTGARCHmu",0.0189204439252336,1.96067157875413e-05
"109","12 - NDX - final","valid",11,"TCAV",0.0400382009345794,1.22145966964159e-05
"110","12 - NDX - final","valid",12,"rangeValue",0.0426261682242991,4.85119678752765e-05
"111","12 - NDX - final","valid",13,"trigGARCH",0.187022663551402,6.86071111833511e-05
"112","12 - NDX - final","valid",14,"trvGARCH",0.058543691588785,2.8639151655556e-05
"113","13 - DJI - final","train",1,"Adaptive",0.0466135635635636,1.69455584832704e-06
"114","13 - DJI - final","train",2,"symmetricAbs",0.0519878878878879,1.55018235022524e-05
"115","13 - DJI - final","train",3,"IndirectGARCH",0.0220705705705706,6.59745291129025e-06
"116","13 - DJI - final","train",4,"standardGARCHmu",0.0463983483483483,6.29744743894876e-05
"117","13 - DJI - final","train",5,"linearGARCH",0.0519734234234234,1.55087900263537e-05
"118","13 - DJI - final","train",6,"linearGARCHmu",0.0455606106106106,7.61850865440127e-05
"119","13 - DJI - final","train",7,"GJRGARCH",0.0527676176176176,1.0839834439667e-05
"120","13 - DJI - final","train",8,"GJRGARCHmu",0.0513249249249249,7.08037872608324e-05
"121","13 - DJI - final","train",9,"linearTGARCH",0.052005955955956,1.55259021490701e-05
"122","13 - DJI - final","train",10,"linearTGARCHmu",0.049999049049049,7.94338097875858e-05
"123","13 - DJI - final","train",11,"TCAV",0.058296996996997,1.30925325546933e-05
"124","13 - DJI - final","train",12,"rangeValue",0.0509451951951952,4.85589160801055e-05
"125","13 - DJI - final","train",13,"trigGARCH",0.137662462462462,4.65956802318769e-05
"126","13 - DJI - final","train",14,"trvGARCH",0.0512217217217217,1.13929031892304e-05
"127","13 - DJI - final","valid",1,"Adaptive",0.0473091121495327,2.05843591418956e-06
"128","13 - DJI - final","valid",2,"symmetricAbs",0.0394808411214953,2.02759138603858e-05
"129","13 - DJI - final","valid",3,"IndirectGARCH",0.012321261682243,7.03394101608338e-06
"130","13 - DJI - final","valid",4,"standardGARCHmu",0.0146335280373832,1.45825991203787e-05
"131","13 - DJI - final","valid",5,"linearGARCH",0.0394793224299065,2.02723878336459e-05
"132","13 - DJI - final","valid",6,"linearGARCHmu",0.0122744158878505,1.16444515511321e-05
"133","13 - DJI - final","valid",7,"GJRGARCH",0.0392886682242991,1.68172811428169e-05
"134","13 - DJI - final","valid",8,"GJRGARCHmu",0.0194268691588785,2.17316200487892e-05
"135","13 - DJI - final","valid",9,"linearTGARCH",0.0394822429906542,2.02753530005503e-05
"136","13 - DJI - final","valid",10,"linearTGARCHmu",0.0117086448598131,1.4076901053632e-05
"137","13 - DJI - final","valid",11,"TCAV",0.0324672897196262,1.9087547529595e-05
"138","13 - DJI - final","valid",12,"rangeValue",0.0297469626168224,3.46050033113444e-05
"139","13 - DJI - final","valid",13,"trigGARCH",0.138964369158878,6.28915521154497e-05
"140","13 - DJI - final","valid",14,"trvGARCH",0.0454373831775701,2.91294783980816e-05
"141","14 - SSMI - final","train",1,"Adaptive",0.0490974474474474,3.20729934397914e-07
"142","14 - SSMI - final","train",2,"symmetricAbs",0.0512101101101101,1.18495031099073e-05
"143","14 - SSMI - final","train",3,"IndirectGARCH",0.0610628628628629,3.11382072286405e-05
"144","14 - SSMI - final","train",4,"standardGARCHmu",0.0498285785785786,8.10106960700818e-05
"145","14 - SSMI - final","train",5,"linearGARCH",0.0512897397397397,1.19407069381624e-05
"146","14 - SSMI - final","train",6,"linearGARCHmu",0.0415246246246246,6.41601769679137e-05
"147","14 - SSMI - final","train",7,"GJRGARCH",0.0525202702702703,1.1276590150861e-05
"148","14 - SSMI - final","train",8,"GJRGARCHmu",0.0291194194194194,2.6859549320508e-05
"149","14 - SSMI - final","train",9,"linearTGARCH",0.0512240740740741,1.18219521238038e-05
"150","14 - SSMI - final","train",10,"linearTGARCHmu",0.0459436936936937,7.02326710020116e-05
"151","14 - SSMI - final","train",11,"TCAV",0.0554066066066066,1.20141979780774e-05
